Year,Mean,Standard Deviation,Annualised Mean,Annualised Standard Deviation
1971,1.335,4.134259304881589,262.6794425016242,0.14321494335438603
1972,1.3275,2.0102967894861155,252.73133540849275,0.06963872355365094
1973,-1.6583333333333332,4.776660745624278,-0.009933724937965193,0.16546838203882172
1974,-2.4625,6.898424227182743,0.9475258274034694,0.23896842507289154
1975,2.8691666666666666,5.49492568951877,112566.51294527651,0.1903498095612391
1976,2.085,4.103660228713784,7431.242540455215,0.14215496026263985
1977,-0.2299999999999999,2.7529026003970296,-0.009565601114780364,0.09536334344352275
1978,0.7908333333333334,5.261227748752417,10.870830208108062,0.1822542754206082
1979,1.8566666666666667,4.246886203354455,2953.3392411512905,0.14711645356346412
1980,2.5841666666666665,5.749601501342718,44942.60703865013,0.19917203847199766
1981,-0.21499999999999997,4.021748828104962,-0.009452434747312695,0.1393174661111677
1982,1.7533333333333332,5.617513738840397,1898.0306579098108,0.19459638415775543
1983,1.7508333333333335,3.0770660711236935,1877.4527945122097,0.1065926954686517
1984,0.38583333333333325,4.115280744500988,0.49180159575852955,0.14255750673771173
1985,2.4425000000000003,3.706721474687449,27700.47589784378,0.1284045984733059
1986,1.3808333333333334,5.018448616370553,331.69187925667507,0.17384415957455063
1987,0.5300000000000004,8.90134310600985,1.6354972840432496,0.3083515703042404
1988,1.4183333333333332,2.8513627789128653,400.113394597039,0.09877410407775733
1989,2.185,3.294542318882714,10897.147804136146,0.11412629367981292
1990,-0.3874999999999999,5.486154680814074,-0.009972121261616038,0.19004597290703587
1991,2.6108333333333333,4.530920954615044,49123.491533806984,0.1569557059694347
1992,0.7983333333333333,2.197398599722091,11.430429563638189,0.07612012038398736
1993,0.8983333333333334,1.9248038073969245,21.89128942152284,0.06667715978026985
1994,0.023333333333333373,2.943588821747214,0.0031888050590818673,0.10196890791715964
1995,2.6583333333333337,1.5730158256924143,57464.444758953185,0.05449086662418341
1996,1.6583333333333334,3.1750643038107644,1245.4025681509477,0.10998745382997098
1997,2.3758333333333335,4.3590438032655605,21906.43803151324,0.15100170679348449
1998,2.045,6.643263847346012,6353.995166596896,0.23012941023377573
1999,1.9708333333333332,4.153680642368631,4726.487773885785,0.143887718219956
2000,-0.8966666666666666,5.416819485023784,-0.009999999999985179,0.1876441312698055
2001,-0.8283333333333333,6.1057139160169,-0.009999999993450144,0.2115081343804321
2002,-1.8041666666666665,5.762438654113747,-0.009268603618215418,0.19961673048847658
2003,2.3766666666666665,3.3590700372501185,21971.418178652562,0.11636159941398973
2004,0.9691666666666667,2.36524247587789,33.98301665233052,0.08193440280881019
2005,0.52,2.514351533967284,1.510978430902088,0.08709969209840158
2006,1.2183333333333335,1.8754288398479249,142.00089388512356,0.06496676073193122
2007,0.49750000000000005,2.7924512692093826,1.26175066306618,0.09673334951861694
2008,-3.5508333333333337,6.292063483372357,758.8907859429687,0.21796347275299469
2009,2.290833333333333,6.3908890522984265,16131.337701980856,0.2213868908823317
2010,1.4991666666666665,5.6972632318801395,593.6566281171396,0.19735898763420934
2011,0.14499999999999993,4.839642173098789,0.040776859902106756,0.16765012268520305
2012,1.3133333333333332,3.1311901116271295,234.87678784657962,0.10846760722990904
2013,2.5725000000000002,2.519816461570168,43218.20737658974,0.08728900274375921
2014,0.9566666666666667,2.555131497535297,31.48213890372192,0.0885123514750137
2015,0.075,3.88814398349182,0.01381779599026594,0.13468925853102154
2016,1.1091666666666666,3.280594342862927,77.49519072709948,0.11364312161723246
2017,1.6975,1.0995133220905262,1484.3438397776947,0.038088258749192694
2018,-0.3408333333333333,4.5576777546412295,-0.00993271118976586,0.15788258871130098
2019,2.3108333333333335,4.017236631257257,17347.926671566685,0.13916115902728815
2020,2.1074999999999995,7.959507893650895,8108.361673342135,0.2757254415009777
2021,1.8191666666666666,2.937675204317286,2520.2713221974864,0.10176405420025642
2022,-2.19375,6.331733992923491,0.07374533324858604,0.21933769951508886
